EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Hygiene,Safety Measures,Food Quality,Accommodation,Overall Satisfaction
3427,Aarav,Sharma,20-Sep-19,,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance & Accounting,7/10/1969,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,Poor,Average,Average,Poor,Medium
3428,Arjun,Bansal,11-Feb-23,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,Good,Average,Good,Poor,High
3429,Ayaan,Chopra,10-Dec-18,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,6/10/1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,Poor,Poor,Average,Poor,Medium
3430,Sai,Mehta,21-Jun-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,4/4/1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,Poor,Poor,Average,Good,very low
3431,Diya,Nanda,29-Jun-19,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,29-08-1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,Good,Poor,Good,Average,Medium
3432,Myra,Kumar,17-Jan-20,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,3/4/1949,CT,Driver,Male,6050,Black,Married,Fully Meets,3,Good,Average,Poor,Good,High
3433,Vihaan,Reddy,6-Apr-22,3-Jul-23,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,1/7/1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,Poor,Average,Poor,Poor,very low
3434,Kiara,Kumar,6-Nov-20,29-Jan-23,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,7/3/1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,Average,Average,Average,Poor,Medium
3435,Arjun,Rao,18-Aug-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,Poor,Poor,Good,Average,very low
3436,Saanvi,Rao,21-Jan-22,29-Jun-23,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11/11/1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,Poor,Average,Poor,Poor,High
3437,Krishna,Nair,4-Aug-23,,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,26-01-1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5,Poor,Good,Average,Good,Medium
3438,Krishna,Kumar,10-Aug-18,4-Nov-19,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,6/4/1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,Poor,Good,Average,Good,very low
